Job Name,Repo,Workflow Name,Branch,Cron schedule (JST),Status,End Date,PIC Team,Request Body
QA - COREAPP - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 3,Enable,2026-02-02,FSBP,"{
    ""prjName"": ""Env-QA-DAY-COREAPP-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": "" @stg and @coreapp and not @not-qa and not @coreapp-part-run"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""6"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - COREAPP - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 4,Enable,2026-02-19,QA Tech,"{
    ""prjName"": ""Env-QA-DAY-COREAPP-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": "" @stg and @coreapp and not @not-qa and not @coreapp-part-run"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""6"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - P2DC_PAYROLL,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 2,Disable,2026-03-07,FSBP,"{
    ""prjName"": ""Env-QA-DAY-P2DC_PAYROLL"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @Payroll and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - P2DC_PAYROLL,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 3,Enable,2026-03-19,FSBP,"{
    ""prjName"": ""Env-QA-DAY-P2DC_PAYROLL"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @Payroll and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - P2DC_PAYROLL,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 4,Enable,2026-03-09,O2O,"{
    ""prjName"": ""Env-QA-DAY-P2DC_PAYROLL"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @Payroll and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - P2DC_PAYROLL - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 2,Disable,2026-01-19,O2O,"{
    ""prjName"": ""Env-QA-DAY-P2DC_PAYROLL-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @Payroll and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - P2DC_PAYROLL - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 3,Enable,2026-02-22,O2O,"{
    ""prjName"": ""Env-QA-DAY-P2DC_PAYROLL-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @Payroll and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - P2DC_PAYROLL - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 4,Enable,2026-01-17,PAM,"{
    ""prjName"": ""Env-QA-DAY-P2DC_PAYROLL-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @Payroll and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - P2DC,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 2 ,Disable,2026-03-07,O2O,"{
    ""prjName"": ""Env-QA-DAY-P2DC"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @pay2dc and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - P2DC,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 3 ,Enable,2026-02-03,PAM,"{
    ""prjName"": ""Env-QA-DAY-P2DC"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @pay2dc and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - P2DC,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 4,Enable,2026-01-21,PAM,"{
    ""prjName"": ""Env-QA-DAY-P2DC"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @pay2dc and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - P2DC - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 2 ,Disable,2026-02-27,O2O,"{
    ""prjName"": ""Env-QA-DAY-P2DC-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @pay2dc and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - P2DC - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 3 ,Enable,2026-01-19,PAM,"{
    ""prjName"": ""Env-QA-DAY-P2DC-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @pay2dc and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - P2DC - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 4,Enable,2026-03-10,PAM,"{
    ""prjName"": ""Env-QA-DAY-P2DC-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @pay2dc and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - FSBP,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 2,Disable,2026-02-01,CAG,"{
    ""prjName"": ""Env-QA-DAY-FSBP"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @financialService and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""5"",
    ""slack_recipient"": """",
    ""channel"": """",
    ""enable_webdriver"": ""false""
}"
